Model,MPG,Cylinders (categorical),Displacement,Horsepower,Weight,Acceleration,Year,Origin (categorical),Origin Label,Null Trap,Segment,Segment8,Grade (categorical),Grade Label,Fleet,Region,Emptyish,Log Spaced,Long Label,Long Number,Long Code (categorical)
fiat 128,29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0,Europe,B,Seg05,SegE,1,1,FleetA,south,none,0.068712703634787681,Atlantic Coastal Engineering Station Epsilon,0.0000001234567890123456,1000000000000000000
opel manta,24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2.0,Europe,null,Seg06,SegF,2,2,FleetA,EAST,ok,0.071097094323124319,Mountain West Quality Assurance Facility Zeta,0.30000000000000004,0.30000000000000004
audi 100ls,20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0,Europe,A,Seg07,SegG,5,5,FleetA,North,,0.073564225445964138,Great Lakes Production Operations Eta,3.141592653589793,1234567890
volvo 144ea,19.0,NaN,121.0,112.0,2868.0,15.5,73.0,2.0,Europe,,Seg08,SegH,9,9,FleetA,south,none,0.076116968168479501,Gulf Coast Materials Testing Institute Theta,2.718281828459045,0.000000000000001
dodge dart custom,15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.078758293287775963,North American Manufacturing Division Alpha,1.4142135623730951,12345678901234.5
saab 99le,24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0,Europe,A,Seg10,SegB,2,2,FleetA,North,,0.081491274690207449,Southwestern European Distribution Center Beta,0.1,30000000
toyota mark ii,20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3.0,Japan,B,Seg11,SegC,5,5,FleetA,south,none,0.084319092928662548,Pacific Rim Logistics and Supply Chain Gamma,0.01,0.000000123456789
oldsmobile omega,11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0,,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.087245038923986634,Central Plains Research Laboratory Delta,0.001,5550000000000000
plymouth duster,20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,0.090272517794845783,Atlantic Coastal Engineering Station Epsilon,0.000000000001,1000000000000000000
ford maverick,21.0,6.0,200.0,NaN,2875.0,17.0,74.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,0.093405052820490733,Mountain West Quality Assurance Facility Zeta,1000000000000,0.30000000000000004
amc hornet,19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.096646289541032465,Great Lakes Production Operations Eta,999,1234567890
chevrolet nova,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,0.10000000000000001,Gulf Coast Materials Testing Institute Theta,1000,0.000000000000001
datsun b210,31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3.0,Japan,B,Seg05,SegA,1,1,FleetA,south,none,0.1034700871341199,North American Manufacturing Division Alpha,999999,12345678901234.5
ford pinto,26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0,USA,undefined,Seg06,SegB,2,2,FleetA,EAST,ok,0.10706058931542353,Southwestern European Distribution Center Beta,1000000,30000000
toyota corolla 1200,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0,Japan,A,Seg07,SegC,5,5,FleetA,North,,0.11077568505097087,Pacific Rim Logistics and Supply Chain Gamma,-30000000,0.000000123456789
chevrolet vega,25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,0.11461969784565779,Central Plains Research Laboratory Delta,-0.0000001234,5550000000000000
chevrolet chevelle malibu classic,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.11859710123376695,Atlantic Coastal Engineering Station Epsilon,0,1000000000000000000
amc matador,16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,0.12271252398511903,Mountain West Quality Assurance Facility Zeta,1,0.30000000000000004
plymouth satellite sebring,18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,0.1269707554918803,Great Lakes Production Operations Eta,-1,1234567890
,16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.1313767513422989,Gulf Coast Materials Testing Institute Theta,0.9999999999999999,0.000000000000001
buick century luxus (sw),13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.13593563908785256,North American Manufacturing Division Alpha,1000000000.0000001,12345678901234.5
dodge coronet custom (sw),14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,0.14065272421052363,Southwestern European Distribution Center Beta,0.000000000000001,30000000
ford gran torino (sw),14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.14553349629714216,Pacific Rim Logistics and Supply Chain Gamma,1000000000000000000,0.000000123456789
amc matador (sw),14.0,NaN,304.0,150.0,4257.0,15.5,74.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,0.15058363542798414,Central Plains Research Laboratory Delta,5550000000000000,5550000000000000
audi fox,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0,Europe,B,Seg05,SegE,1,1,FleetA,south,none,0.15580901878706049,Atlantic Coastal Engineering Station Epsilon,1234567890123456,1000000000000000000
volkswagen dasher,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0,Europe,C,Seg06,SegF,2,2,FleetA,EAST,ok,0.16121572750178856,Mountain West Quality Assurance Facility Zeta,100000000000,0.30000000000000004
opel manta,26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0,Europe,A,Seg07,SegG,5,5,FleetA,North,,0.1668100537200059,Great Lakes Production Operations Eta,30000000,1234567890
toyota corona,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0,,B,Seg08,SegH,9,9,FleetA,south,none,0.17259850793256215,Gulf Coast Materials Testing Institute Theta,1234567890,0.000000000000001
datsun 710,32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3.0,Japan,,Seg09,SegA,1,1,FleetA,EAST,ok,0.1785878265500129,North American Manufacturing Division Alpha,12345678901234.5,12345678901234.5
dodge colt,28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,0.18478497974222907,Southwestern European Distribution Center Beta,0.0000001,30000000
fiat 128,24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0,Europe,B,Seg11,SegC,5,5,FleetA,south,none,0.19119717955005022,Pacific Rim Logistics and Supply Chain Gamma,0.0000001234567890123456,0.000000123456789
fiat 124 tc,26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0,Europe,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.19783188827841644,Central Plains Research Laboratory Delta,0.30000000000000004,5550000000000000
honda civic,24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0,Japan,A,Seg01,SegE,1,1,FleetA,North,,0.20469682718075199,Atlantic Coastal Engineering Station Epsilon,3.141592653589793,1000000000000000000
subaru,26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0,Japan,B,Seg02,SegF,2,2,FleetA,south,none,0.21179998544470291,Mountain West Quality Assurance Facility Zeta,2.718281828459045,0.30000000000000004
fiat x1.9,31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0,Europe,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.21914962948968714,Great Lakes Production Operations Eta,1.4142135623730951,1234567890
plymouth valiant custom,19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,0.2267543125870802,Gulf Coast Materials Testing Institute Theta,0.1,0.000000000000001
chevrolet nova,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,0.23462288481422625,North American Manufacturing Division Alpha,0.01,12345678901234.5
mercury monarch,15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,0.24276450335386565,Southwestern European Distribution Center Beta,0.001,30000000
ford maverick,15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,0.25118864315095824,Pacific Rim Logistics and Supply Chain Gamma,0.000000000001,0.000000123456789
,16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,0.25990510793930943,Central Plains Research Laboratory Delta,1000000000000,5550000000000000
chevrolet bel air,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.26892404165083184,Atlantic Coastal Engineering Station Epsilon,999,1000000000000000000
plymouth grand fury,16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0,USA,null,Seg10,SegF,2,2,FleetA,North,,0.27825594022071232,Mountain West Quality Assurance Facility Zeta,1000,0.30000000000000004
ford ltd,14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,0.2879116638022356,Great Lakes Production Operations Eta,999999,1234567890
buick century,17.0,NaN,231.0,110.0,3907.0,21.0,75.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.29790244940546751,Gulf Coast Materials Testing Institute Theta,1000000,0.000000000000001
chevroelt chevelle malibu,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.30823992397451433,North American Manufacturing Division Alpha,-30000000,12345678901234.5
amc matador,15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,0.31893611791857496,Southwestern European Distribution Center Beta,-0.0000001234,30000000
plymouth fury,18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.3300034791125282,Pacific Rim Logistics and Supply Chain Gamma,0,0.000000123456789
buick skyhawk,21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0,,A,Seg04,SegD,9,9,FleetA,North,,0.34145488738336005,Central Plains Research Laboratory Delta,1,5550000000000000
chevrolet monza 2+2,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,0.35330366949927361,Atlantic Coastal Engineering Station Epsilon,-1,1000000000000000000
ford mustang ii,13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,0.36556361467894105,Mountain West Quality Assurance Facility Zeta,0.9999999999999999,0.30000000000000004
toyota corolla,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0,Japan,A,Seg07,SegG,5,5,FleetA,North,,0.37824899063893863,Great Lakes Production Operations Eta,1000000000.0000001,1234567890
ford pinto,23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,0.3913745601980384,Gulf Coast Materials Testing Institute Theta,0.000000000000001,0.000000000000001
amc gremlin,20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.40495559845768886,North American Manufacturing Division Alpha,1000000000000000000,12345678901234.5
pontiac astro,23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0,USA,,Seg10,SegB,2,2,FleetA,North,,0.41900791057866693,Southwestern European Distribution Center Beta,5550000000000000,30000000
toyota corona,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0,Japan,B,Seg11,SegC,5,5,FleetA,south,none,0.4335478501746014,Pacific Rim Logistics and Supply Chain Gamma,1234567890123456,0.000000123456789
volkswagen dasher,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0,Europe,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.44859233834376366,Central Plains Research Laboratory Delta,100000000000,5550000000000000
datsun 710,24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3.0,Japan,A,Seg01,SegE,1,1,FleetA,North,,0.46415888336127775,Atlantic Coastal Engineering Station Epsilon,30000000,1000000000000000000
ford pinto,18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,0.48026560105467203,Mountain West Quality Assurance Facility Zeta,1234567890,0.30000000000000004
volkswagen rabbit,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0,Europe,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.49693123588647325,Great Lakes Production Operations Eta,12345678901234.5,1234567890
,19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,0.5141751827683928,Gulf Coast Materials Testing Institute Theta,0.0000001,0.000000000000001
audi 100ls,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0,Europe,B,Seg05,SegA,1,1,FleetA,south,none,0.53201750963247574,North American Manufacturing Division Alpha,0.0000001234567890123456,12345678901234.5
peugeot 504,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0,Europe,C,Seg06,SegB,2,2,FleetA,EAST,ok,0.55047898078549673,Southwestern European Distribution Center Beta,0.30000000000000004,30000000
volvo 244dl,22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0,Europe,A,Seg07,SegC,5,5,FleetA,North,,0.56958108107376859,Pacific Rim Logistics and Supply Chain Gamma,3.141592653589793,0.000000123456789
saab 99le,25.0,NaN,121.0,115.0,2671.0,13.5,75.0,2.0,Europe,B,Seg08,SegD,9,9,FleetA,south,none,0.58934604088649045,Central Plains Research Laboratory Delta,2.718281828459045,5550000000000000
honda civic cvcc,33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0,Japan,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.609796862026737,Atlantic Coastal Engineering Station Epsilon,1.4142135623730951,1000000000000000000
fiat 131,28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0,Europe,A,Seg10,SegF,2,2,FleetA,North,,0.63095734448019303,Mountain West Quality Assurance Facility Zeta,0.1,0.30000000000000004
opel 1900,25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2.0,Europe,B,Seg11,SegG,5,5,FleetA,south,none,0.65285211411278476,Great Lakes Production Operations Eta,0.01,1234567890
capri ii,25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1.0,,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.67550665132944154,Gulf Coast Materials Testing Institute Theta,0.001,0.000000000000001
dodge colt,26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.69894732072734866,North American Manufacturing Division Alpha,0.000000000001,12345678901234.5
renault 12tl,27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0,Europe,B,Seg02,SegB,2,2,FleetA,south,none,0.72320140177818337,Southwestern European Distribution Center Beta,1000000000000,30000000
chevrolet chevelle malibu classic,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.74829712057506281,Pacific Rim Logistics and Supply Chain Gamma,999,0.000000123456789
dodge coronet brougham,16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,0.774263682681127,Central Plains Research Laboratory Delta,1000,5550000000000000
amc matador,15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,0.80113130711800684,Atlantic Coastal Engineering Station Epsilon,999999,1000000000000000000
ford gran torino,14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,0.82893126153371532,Mountain West Quality Assurance Facility Zeta,1000000,0.30000000000000004
plymouth valiant,22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,0.85769589859089368,Great Lakes Production Operations Eta,-30000000,1234567890
chevrolet nova,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,0.8874586936177703,Gulf Coast Materials Testing Institute Theta,-0.0000001234,0.000000000000001
ford maverick,24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.91825428356562822,North American Manufacturing Division Alpha,0,12345678901234.5
amc hornet,22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,0.95011850731814385,Southwestern European Distribution Center Beta,1,30000000
chevrolet chevette,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0,USA,,Seg11,SegC,5,5,FleetA,south,none,0.98308844739948287,Pacific Rim Logistics and Supply Chain Gamma,-1,0.000000123456789
,24.5,4.0,98.0,60.0,2164.0,22.1,76.0,1.0,USA,C,Seg12,SegD,9,9,FleetA,EAST,ok,1.0172024731297094,Central Plains Research Laboratory Delta,0.9999999999999999,5550000000000000
vw rabbit,29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2.0,Europe,A,Seg01,SegE,1,1,FleetA,North,,1.0525002852777328,Atlantic Coastal Engineering Station Epsilon,1000000000.0000001,1000000000000000000
honda civic,33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3.0,Japan,null,Seg02,SegF,2,2,FleetA,south,none,1.0890229622637304,Mountain West Quality Assurance Facility Zeta,0.000000000000001,0.30000000000000004
dodge aspen se,20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,1.1268130079648544,Great Lakes Production Operations Eta,1000000000000000000,1234567890
ford granada ghia,18.0,NaN,250.0,78.0,3574.0,21.0,76.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,1.165914401179831,Gulf Coast Materials Testing Institute Theta,5550000000000000,0.000000000000001
pontiac ventura sj,18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,1.2063726468100235,North American Manufacturing Division Alpha,1234567890123456,12345678901234.5
amc pacer d/l,17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,1.2482348288165197,Southwestern European Distribution Center Beta,100000000000,30000000
volkswagen rabbit,29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2.0,Europe,A,Seg07,SegC,5,5,FleetA,North,,1.2915496650148828,Pacific Rim Logistics and Supply Chain Gamma,30000000,0.000000123456789
datsun b-210,32.0,4.0,85.0,70.0,1990.0,17.0,76.0,3.0,,B,Seg08,SegD,9,9,FleetA,south,none,1.3363675637713341,Central Plains Research Laboratory Delta,1234567890,5550000000000000
toyota corolla,28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3.0,Japan,C,Seg09,SegE,1,1,FleetA,EAST,ok,1.3827406826663133,Atlantic Coastal Engineering Station Epsilon,12345678901234.5,1000000000000000000
ford pinto,26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,1.4307229891937572,Mountain West Quality Assurance Facility Zeta,0.0000001,0.30000000000000004
volvo 245,20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2.0,Europe,B,Seg11,SegG,5,5,FleetA,south,none,1.4803703235666639,Great Lakes Production Operations Eta,0.0000001234567890123456,1234567890
plymouth volare premier v8,13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,1.5317404637020797,Gulf Coast Materials Testing Institute Theta,0.30000000000000004,0.000000000000001
peugeot 504,19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2.0,Europe,A,Seg01,SegA,1,1,FleetA,North,,1.584893192461114,North American Manufacturing Division Alpha,3.141592653589793,12345678901234.5
toyota mark ii,19.0,6.0,156.0,108.0,2930.0,15.5,76.0,3.0,Japan,undefined,Seg02,SegB,2,2,FleetA,south,none,1.639890367222246,Southwestern European Distribution Center Beta,2.718281828459045,30000000
mercedes-benz 280s,16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2.0,Europe,C,Seg03,SegC,5,5,FleetA,EAST,ok,1.6967959918688984,Pacific Rim Logistics and Supply Chain Gamma,1.4142135623730951,0.000000123456789
cadillac seville,16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,1.7556762912750015,Central Plains Research Laboratory Delta,0.1,5550000000000000
chevy c10,13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,1.8165997883753267,Atlantic Coastal Engineering Station Epsilon,0.01,1000000000000000000
ford f108,13.0,8.0,302.0,130.0,3870.0,15.0,76.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,1.8796373839101901,Mountain West Quality Assurance Facility Zeta,0.001,0.30000000000000004
dodge d100,13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,1.9448624389373614,Great Lakes Production Operations Eta,0.000000000001,1234567890
,31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3.0,Japan,B,Seg08,SegH,9,9,FleetA,south,none,2.0123508602072575,Gulf Coast Materials Testing Institute Theta,1000000000000,0.000000000000001
buick opel isuzu deluxe,30.0,4.0,111.0,80.0,2155.0,14.8,77.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,2.0821811885006563,North American Manufacturing Division Alpha,999,12345678901234.5
renault 5 gtl,36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2.0,Europe,A,Seg10,SegB,2,2,FleetA,North,,2.1544346900318843,Southwestern European Distribution Center Beta,1000,30000000
plymouth arrow gs,25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,2.2291954510236947,Pacific Rim Logistics and Supply Chain Gamma,999999,0.000000123456789
datsun f-10 hatchback,33.5,NaN,85.0,70.0,1945.0,16.8,77.0,3.0,Japan,,Seg12,SegD,9,9,FleetA,EAST,ok,2.3065504755640514,Central Plains Research Laboratory Delta,1000000,5550000000000000
chevrolet caprice classic,17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,2.3865897868585835,Atlantic Coastal Engineering Station Epsilon,-30000000,1000000000000000000
oldsmobile cutlass supreme,17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,2.4694065319965772,Mountain West Quality Assurance Facility Zeta,-0.0000001234,0.30000000000000004
dodge monaco brougham,15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,2.5550970903525072,Great Lakes Production Operations Eta,0,1234567890
mercury cougar brougham,15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1.0,,A,Seg04,SegH,9,9,FleetA,North,,2.643761185749101,Gulf Coast Materials Testing Institute Theta,1,0.000000000000001
chevrolet concours,17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,2.7355020025126335,North American Manufacturing Division Alpha,-1,12345678901234.5
buick skylark,20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,2.830426305555414,Southwestern European Distribution Center Beta,0.9999999999999999,30000000
plymouth volare custom,19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,2.9286445646252344,Pacific Rim Logistics and Supply Chain Gamma,1000000000.0000001,0.000000123456789
ford granada,18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,3.0302710828663995,Central Plains Research Laboratory Delta,0.000000000000001,5550000000000000
pontiac grand prix lj,16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,3.1354241298418954,Atlantic Coastal Engineering Station Epsilon,1000000000000000000,1000000000000000000
chevrolet monte carlo landau,15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,3.24422607917163,Mountain West Quality Assurance Facility Zeta,5550000000000000,0.30000000000000004
chrysler cordoba,15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,3.3568035509467271,Great Lakes Production Operations Eta,1234567890123456,1234567890
ford thunderbird,16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,3.4732875590858057,Gulf Coast Materials Testing Institute Theta,100000000000,0.000000000000001
volkswagen rabbit custom,29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2.0,Europe,A,Seg01,SegA,1,1,FleetA,North,,3.5938136638046259,North American Manufacturing Division Alpha,30000000,12345678901234.5
pontiac sunbird coupe,24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,3.7185221293765527,Southwestern European Distribution Center Beta,1234567890,30000000
toyota corolla liftback,26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3.0,Japan,C,Seg03,SegC,5,5,FleetA,EAST,ok,3.84755808736745,Pacific Rim Logistics and Supply Chain Gamma,12345678901234.5,0.000000123456789
,25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,3.9810717055349691,Central Plains Research Laboratory Delta,0.0000001,5550000000000000
chevrolet chevette,30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,4.1192183625888301,Atlantic Coastal Engineering Station Epsilon,0.0000001234567890123456,1000000000000000000
dodge colt m/m,33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1.0,USA,null,Seg06,SegF,2,2,FleetA,EAST,ok,4.2621588290153252,Mountain West Quality Assurance Facility Zeta,0.30000000000000004,0.30000000000000004
subaru dl,30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3.0,Japan,A,Seg07,SegG,5,5,FleetA,North,,4.4100594541767366,Great Lakes Production Operations Eta,3.141592653589793,1234567890
volkswagen dasher,30.5,NaN,97.0,78.0,2190.0,14.1,77.0,2.0,Europe,B,Seg08,SegH,9,9,FleetA,south,none,4.5630923599031572,Gulf Coast Materials Testing Institute Theta,2.718281828459045,0.000000000000001
datsun 810,22.0,6.0,146.0,97.0,2815.0,14.5,77.0,3.0,Japan,C,Seg09,SegA,1,1,FleetA,EAST,ok,4.7214356408021647,North American Manufacturing Division Alpha,1.4142135623730951,12345678901234.5
bmw 320i,21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2.0,Europe,A,Seg10,SegB,2,2,FleetA,North,,4.8852735715193916,Southwestern European Distribution Center Beta,0.1,30000000
mazda rx-4,21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3.0,Japan,B,Seg11,SegC,5,5,FleetA,south,none,5.0547968211912355,Pacific Rim Logistics and Supply Chain Gamma,0.01,0.000000123456789
