Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Segment,Segment8
datsun 510,27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3.0,Seg12,SegD
dodge omni,30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1.0,Seg01,SegE
toyota celica gt liftback,21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3.0,Seg02,SegF
plymouth sapporo,23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1.0,Seg03,SegG
oldsmobile starfire sx,23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1.0,Seg04,SegH
datsun 200-sx,23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3.0,Seg05,SegA
audi 5000,20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2.0,Seg06,SegB
volvo 264gl,17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2.0,Seg07,SegC
saab 99gle,21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2.0,Seg08,SegD
peugeot 604sl,16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2.0,Seg09,SegE
volkswagen scirocco,31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2.0,Seg10,SegF
honda accord lx,29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3.0,Seg11,SegG
pontiac lemans v6,21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1.0,Seg12,SegH
mercury zephyr 6,19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1.0,Seg01,SegA
ford fairmont 4,22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1.0,Seg02,SegB
amc concord dl 6,20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1.0,Seg03,SegC
dodge aspen 6,20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1.0,Seg04,SegD
chevrolet caprice classic,17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1.0,Seg05,SegE
ford ltd landau,17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1.0,Seg06,SegF
mercury grand marquis,16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1.0,Seg07,SegG
dodge st. regis,18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1.0,Seg08,SegH
buick estate wagon (sw),16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1.0,Seg09,SegA
ford country squire (sw),15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1.0,Seg10,SegB
chevrolet malibu classic (sw),19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1.0,Seg11,SegC
chrysler lebaron town @ country (sw),18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1.0,Seg12,SegD
vw rabbit custom,31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2.0,Seg01,SegE
maxda glc deluxe,34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3.0,Seg02,SegF
dodge colt hatchback custom,35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1.0,Seg03,SegG
amc spirit dl,27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1.0,Seg04,SegH
mercedes benz 300d,25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2.0,Seg05,SegA
cadillac eldorado,23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1.0,Seg06,SegB
peugeot 504,27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2.0,Seg07,SegC
oldsmobile cutlass salon brougham,23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1.0,Seg08,SegD
plymouth horizon,34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1.0,Seg09,SegE
plymouth horizon tc3,34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1.0,Seg10,SegF
datsun 210,31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3.0,Seg11,SegG
fiat strada custom,37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2.0,Seg12,SegH
buick skylark limited,28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1.0,Seg01,SegA
chevrolet citation,28.8,6.0,173.0,115.0,2595.0,11.3,79.0,1.0,Seg02,SegB
oldsmobile omega brougham,26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1.0,Seg03,SegC
pontiac phoenix,33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1.0,Seg04,SegD
vw rabbit,41.5,4.0,98.0,76.0,2144.0,14.7,80.0,2.0,Seg05,SegE
toyota corolla tercel,38.1,4.0,89.0,60.0,1968.0,18.8,80.0,3.0,Seg06,SegF
chevrolet chevette,32.1,4.0,98.0,70.0,2120.0,15.5,80.0,1.0,Seg07,SegG
datsun 310,37.2,4.0,86.0,65.0,2019.0,16.4,80.0,3.0,Seg08,SegH
chevrolet citation,28.0,4.0,151.0,90.0,2678.0,16.5,80.0,1.0,Seg09,SegA
ford fairmont,26.4,4.0,140.0,88.0,2870.0,18.1,80.0,1.0,Seg10,SegB
amc concord,24.3,4.0,151.0,90.0,3003.0,20.1,80.0,1.0,Seg11,SegC
dodge aspen,19.1,6.0,225.0,90.0,3381.0,18.7,80.0,1.0,Seg12,SegD
audi 4000,34.3,4.0,97.0,78.0,2188.0,15.8,80.0,2.0,Seg01,SegE
toyota corona liftback,29.8,4.0,134.0,90.0,2711.0,15.5,80.0,3.0,Seg02,SegF
mazda 626,31.3,4.0,120.0,75.0,2542.0,17.5,80.0,3.0,Seg03,SegG
datsun 510 hatchback,37.0,4.0,119.0,92.0,2434.0,15.0,80.0,3.0,Seg04,SegH
toyota corolla,32.2,4.0,108.0,75.0,2265.0,15.2,80.0,3.0,Seg05,SegA
mazda glc,46.6,4.0,86.0,65.0,2110.0,17.9,80.0,3.0,Seg06,SegB
dodge colt,27.9,4.0,156.0,105.0,2800.0,14.4,80.0,1.0,Seg07,SegC
datsun 210,40.8,4.0,85.0,65.0,2110.0,19.2,80.0,3.0,Seg08,SegD
vw rabbit c (diesel),44.3,4.0,90.0,48.0,2085.0,21.7,80.0,2.0,Seg09,SegE
vw dasher (diesel),43.4,4.0,90.0,48.0,2335.0,23.7,80.0,2.0,Seg10,SegF
audi 5000s (diesel),36.4,5.0,121.0,67.0,2950.0,19.9,80.0,2.0,Seg11,SegG
mercedes-benz 240d,30.0,4.0,146.0,67.0,3250.0,21.8,80.0,2.0,Seg12,SegH
honda civic 1500 gl,44.6,4.0,91.0,67.0,1850.0,13.8,80.0,3.0,Seg01,SegA
renault lecar deluxe,40.9,4.0,85.0,NaN,1835.0,17.3,80.0,2.0,Seg02,SegB
subaru dl,33.8,4.0,97.0,67.0,2145.0,18.0,80.0,3.0,Seg03,SegC
vokswagen rabbit,29.8,4.0,89.0,62.0,1845.0,15.3,80.0,2.0,Seg04,SegD
datsun 280-zx,32.7,6.0,168.0,132.0,2910.0,11.4,80.0,3.0,Seg05,SegE
mazda rx-7 gs,23.7,3.0,70.0,100.0,2420.0,12.5,80.0,3.0,Seg06,SegF
triumph tr7 coupe,35.0,4.0,122.0,88.0,2500.0,15.1,80.0,2.0,Seg07,SegG
ford mustang cobra,23.6,4.0,140.0,NaN,2905.0,14.3,80.0,1.0,Seg08,SegH
honda accord,32.4,4.0,107.0,72.0,2290.0,17.0,80.0,3.0,Seg09,SegA
plymouth reliant,27.2,4.0,135.0,84.0,2490.0,15.7,81.0,1.0,Seg10,SegB
buick skylark,26.6,4.0,151.0,84.0,2635.0,16.4,81.0,1.0,Seg11,SegC
dodge aries wagon (sw),25.8,4.0,156.0,92.0,2620.0,14.4,81.0,1.0,Seg12,SegD
chevrolet citation,23.5,6.0,173.0,110.0,2725.0,12.6,81.0,1.0,Seg01,SegE
plymouth reliant,30.0,4.0,135.0,84.0,2385.0,12.9,81.0,1.0,Seg02,SegF
toyota starlet,39.1,4.0,79.0,58.0,1755.0,16.9,81.0,3.0,Seg03,SegG
plymouth champ,39.0,4.0,86.0,64.0,1875.0,16.4,81.0,1.0,Seg04,SegH
honda civic 1300,35.1,4.0,81.0,60.0,1760.0,16.1,81.0,3.0,Seg05,SegA
subaru,32.3,4.0,97.0,67.0,2065.0,17.8,81.0,3.0,Seg06,SegB
datsun 210 mpg,37.0,4.0,85.0,65.0,1975.0,19.4,81.0,3.0,Seg07,SegC
toyota tercel,37.7,4.0,89.0,62.0,2050.0,17.3,81.0,3.0,Seg08,SegD
mazda glc 4,34.1,4.0,91.0,68.0,1985.0,16.0,81.0,3.0,Seg09,SegE
plymouth horizon 4,34.7,4.0,105.0,63.0,2215.0,14.9,81.0,1.0,Seg10,SegF
ford escort 4w,34.4,4.0,98.0,65.0,2045.0,16.2,81.0,1.0,Seg11,SegG
ford escort 2h,29.9,4.0,98.0,65.0,2380.0,20.7,81.0,1.0,Seg12,SegH
volkswagen jetta,33.0,4.0,105.0,74.0,2190.0,14.2,81.0,2.0,Seg01,SegA
renault 18i,34.5,4.0,100.0,NaN,2320.0,15.8,81.0,2.0,Seg02,SegB
honda prelude,33.7,4.0,107.0,75.0,2210.0,14.4,81.0,3.0,Seg03,SegC
toyota corolla,32.4,4.0,108.0,75.0,2350.0,16.8,81.0,3.0,Seg04,SegD
datsun 200sx,32.9,4.0,119.0,100.0,2615.0,14.8,81.0,3.0,Seg05,SegE
mazda 626,31.6,4.0,120.0,74.0,2635.0,18.3,81.0,3.0,Seg06,SegF
peugeot 505s turbo diesel,28.1,4.0,141.0,80.0,3230.0,20.4,81.0,2.0,Seg07,SegG
saab 900s,NaN,4.0,121.0,110.0,2800.0,15.4,81.0,2.0,Seg08,SegH
volvo diesel,30.7,6.0,145.0,76.0,3160.0,19.6,81.0,2.0,Seg09,SegA
toyota cressida,25.4,6.0,168.0,116.0,2900.0,12.6,81.0,3.0,Seg10,SegB
datsun 810 maxima,24.2,6.0,146.0,120.0,2930.0,13.8,81.0,3.0,Seg11,SegC
buick century,22.4,6.0,231.0,110.0,3415.0,15.8,81.0,1.0,Seg12,SegD
oldsmobile cutlass ls,26.6,8.0,350.0,105.0,3725.0,19.0,81.0,1.0,Seg01,SegE
ford granada gl,20.2,6.0,200.0,88.0,3060.0,17.1,81.0,1.0,Seg02,SegF
chrysler lebaron salon,17.6,6.0,225.0,85.0,3465.0,16.6,81.0,1.0,Seg03,SegG
chevrolet cavalier,28.0,4.0,112.0,88.0,2605.0,19.6,82.0,1.0,Seg04,SegH
chevrolet cavalier wagon,27.0,4.0,112.0,88.0,2640.0,18.6,82.0,1.0,Seg05,SegA
chevrolet cavalier 2-door,34.0,4.0,112.0,88.0,2395.0,18.0,82.0,1.0,Seg06,SegB
pontiac j2000 se hatchback,31.0,4.0,112.0,85.0,2575.0,16.2,82.0,1.0,Seg07,SegC
dodge aries se,29.0,4.0,135.0,84.0,2525.0,16.0,82.0,1.0,Seg08,SegD
pontiac phoenix,27.0,4.0,151.0,90.0,2735.0,18.0,82.0,1.0,Seg09,SegE
ford fairmont futura,24.0,4.0,140.0,92.0,2865.0,16.4,82.0,1.0,Seg10,SegF
amc concord dl,23.0,4.0,151.0,NaN,3035.0,20.5,82.0,1.0,Seg11,SegG
volkswagen rabbit l,36.0,4.0,105.0,74.0,1980.0,15.3,82.0,2.0,Seg12,SegH
mazda glc custom l,37.0,4.0,91.0,68.0,2025.0,18.2,82.0,3.0,Seg01,SegA
mazda glc custom,31.0,4.0,91.0,68.0,1970.0,17.6,82.0,3.0,Seg02,SegB
plymouth horizon miser,38.0,4.0,105.0,63.0,2125.0,14.7,82.0,1.0,Seg03,SegC
mercury lynx l,36.0,4.0,98.0,70.0,2125.0,17.3,82.0,1.0,Seg04,SegD
nissan stanza xe,36.0,4.0,120.0,88.0,2160.0,14.5,82.0,3.0,Seg05,SegE
honda accord,36.0,4.0,107.0,75.0,2205.0,14.5,82.0,3.0,Seg06,SegF
toyota corolla,34.0,4.0,108.0,70.0,2245.0,16.9,82.0,3.0,Seg07,SegG
honda civic,38.0,4.0,91.0,67.0,1965.0,15.0,82.0,3.0,Seg08,SegH
honda civic (auto),32.0,4.0,91.0,67.0,1965.0,15.7,82.0,3.0,Seg09,SegA
datsun 310 gx,38.0,4.0,91.0,67.0,1995.0,16.2,82.0,3.0,Seg10,SegB
buick century limited,25.0,6.0,181.0,110.0,2945.0,16.4,82.0,1.0,Seg11,SegC
oldsmobile cutlass ciera (diesel),38.0,6.0,262.0,85.0,3015.0,17.0,82.0,1.0,Seg12,SegD
chrysler lebaron medallion,26.0,4.0,156.0,92.0,2585.0,14.5,82.0,1.0,Seg01,SegE
ford granada l,22.0,6.0,232.0,112.0,2835.0,14.7,82.0,1.0,Seg02,SegF
toyota celica gt,32.0,4.0,144.0,96.0,2665.0,13.9,82.0,3.0,Seg03,SegG
dodge charger 2.2,36.0,4.0,135.0,84.0,2370.0,13.0,82.0,1.0,Seg04,SegH
chevrolet camaro,27.0,4.0,151.0,90.0,2950.0,17.3,82.0,1.0,Seg05,SegA
ford mustang gl,27.0,4.0,140.0,86.0,2790.0,15.6,82.0,1.0,Seg06,SegB
vw pickup,44.0,4.0,97.0,52.0,2130.0,24.6,82.0,2.0,Seg07,SegC
dodge rampage,32.0,4.0,135.0,84.0,2295.0,11.6,82.0,1.0,Seg08,SegD
ford ranger,28.0,4.0,120.0,79.0,2625.0,18.6,82.0,1.0,Seg09,SegE
chevy s-10,31.0,4.0,119.0,82.0,2720.0,19.4,82.0,1.0,Seg10,SegF
